,number,노래 이름,Artist
715,23,('Cause) I'm Your Girl,S.E.S.
716,23,루비(淚悲):슬픈 눈물,핑클 (Fin.K.L)
717,23,Everybody,진주
718,23,그때 또 다시 (Again),임창정
719,23,첫사랑,송시현
720,23,애송이의 사랑,양파
721,23,우리의 밤은 당신의 낮보다 아름답다,코나
722,23,내 눈물 모아,서지원
723,23,날 위한 이별,김혜림
724,23,먼지가 되어,이윤수
725,23,가리워진 길,유재하
726,24,사랑의 대화,이정석
727,24,새들처럼,변진섭
728,24,마지막 이별속에서,이준
729,24,졸업,이지연
730,24,사랑하고 싶어,이승철
731,24,동네 ('응답하라 1988' 삽입곡),김현철
732,24,화려한 날은 가고,유열
733,24,기쁜우리 사랑은,최성수
734,24,제주도의 푸른밤,최성원
735,24,그 아픔까지 사랑한거야,조정현
736,24,한바탕 웃음으로,이선희
737,24,어떤이의 꿈,봄여름가을겨울
